,0,1,2
0,50.0,154.0,139.0
1,51.0,161.0,141.0
2,52.0,168.0,144.0
3,53.0,174.0,147.0
4,54.0,181.0,150.0
5,55.0,188.0,153.0
6,56.0,194.0,155.0
7,57.0,201.0,157.0
8,58.0,207.0,159.0
9,59.0,213.0,159.0
10,60.0,218.0,160.0
11,61.0,224.0,159.0
12,62.0,230.0,158.0
13,63.0,235.0,158.0
14,64.0,240.0,156.0
15,65.0,246.0,156.0
16,66.0,252.0,155.0
17,67.0,258.0,154.0
18,68.0,264.0,154.0
19,69.0,270.0,154.0
20,70.0,277.0,154.0
21,71.0,283.0,153.0
22,72.0,289.0,153.0
23,73.0,295.0,153.0
24,74.0,302.0,152.0
25,75.0,308.0,153.0
26,76.0,314.0,152.0
27,77.0,321.0,152.0
28,78.0,327.0,153.0
29,79.0,333.0,153.0
30,80.0,339.0,154.0
31,81.0,346.0,154.0
32,82.0,352.0,154.0
33,83.0,358.0,155.0
34,84.0,364.0,155.0
35,85.0,369.0,156.0
36,86.0,375.0,156.0
37,87.0,381.0,156.0
38,88.0,387.0,157.0
39,89.0,392.0,158.0
40,90.0,398.0,159.0
41,91.0,404.0,159.0
42,92.0,409.0,160.0
43,93.0,415.0,160.0
44,94.0,421.0,160.0
45,95.0,426.0,161.0
46,96.0,432.0,161.0
47,97.0,437.0,161.0
48,98.0,442.0,162.0
49,99.0,448.0,161.0
50,100.0,453.0,162.0
51,101.0,459.0,161.0
52,102.0,465.0,161.0
53,103.0,471.0,161.0
54,104.0,477.0,161.0
55,105.0,482.0,161.0
56,106.0,488.0,160.0
57,107.0,493.0,160.0
58,108.0,499.0,159.0
59,109.0,504.0,158.0
60,110.0,509.0,157.0
61,111.0,515.0,156.0
62,112.0,520.0,156.0
63,113.0,524.0,155.0
64,114.0,528.0,153.0
65,115.0,531.0,152.0
66,116.0,536.0,150.0
67,117.0,541.0,149.0
68,118.0,545.0,147.0
69,119.0,550.0,145.0
70,120.0,554.0,145.0
71,121.0,560.0,143.0
72,122.0,564.0,142.0
73,123.0,569.0,142.0
74,124.0,573.0,141.0
75,125.0,578.0,141.0
76,126.0,583.0,139.0
77,127.0,589.0,136.0
78,128.0,595.0,133.0
79,129.0,602.0,129.0
80,130.0,609.0,127.0
81,131.0,616.0,124.0
82,132.0,623.0,122.0
83,133.0,629.0,121.0
84,134.0,636.0,120.0
85,135.0,642.0,120.0
86,136.0,648.0,119.0
87,137.0,653.0,118.0
88,138.0,658.0,117.0
89,139.0,665.0,114.0
90,140.0,668.0,115.0
91,141.0,671.0,115.0
92,142.0,673.0,117.0
93,143.0,672.0,119.0
94,144.0,671.0,120.0
95,145.0,669.0,120.0
96,146.0,668.0,120.0
97,147.0,668.0,119.0
98,148.0,670.0,117.0
99,149.0,674.0,115.0
100,150.0,679.0,113.0
101,151.0,684.0,111.0
102,152.0,687.0,110.0
103,153.0,690.0,108.0
104,154.0,695.0,106.0
105,155.0,699.0,105.0
106,156.0,705.0,103.0
107,157.0,709.0,101.0
108,158.0,713.0,100.0
109,159.0,718.0,100.0
110,160.0,721.0,100.0
111,161.0,724.0,101.0
112,162.0,727.0,101.0
113,163.0,732.0,100.0
114,164.0,739.0,99.0
115,165.0,745.0,98.0
116,166.0,750.0,96.0
117,167.0,755.0,94.0
118,168.0,760.0,91.0
119,169.0,763.0,87.0
120,170.0,766.0,83.0
121,171.0,769.0,80.0
122,172.0,772.0,75.0
123,173.0,775.0,71.0
124,174.0,779.0,68.0
125,175.0,783.0,66.0
126,176.0,787.0,64.0
127,177.0,791.0,61.0
128,178.0,796.0,60.0
129,179.0,802.0,59.0
130,180.0,807.0,58.0
131,181.0,813.0,57.0
132,182.0,820.0,57.0
133,183.0,827.0,57.0
134,184.0,833.0,57.0
135,185.0,839.0,57.0
136,186.0,845.0,57.0
137,187.0,851.0,57.0
138,188.0,856.0,57.0
139,189.0,862.0,57.0
140,190.0,867.0,57.0
141,191.0,872.0,58.0
142,192.0,877.0,58.0
143,193.0,882.0,59.0
144,194.0,887.0,60.0
145,195.0,892.0,60.0
146,196.0,897.0,61.0
147,197.0,902.0,62.0
148,198.0,907.0,62.0
149,199.0,912.0,63.0
150,200.0,917.0,63.0
151,201.0,922.0,64.0
152,202.0,928.0,64.0
153,203.0,933.0,65.0
154,204.0,939.0,65.0
155,205.0,945.0,65.0
156,206.0,952.0,65.0
157,207.0,958.0,66.0
158,208.0,964.0,66.0
159,209.0,970.0,66.0
160,210.0,976.0,66.0
161,211.0,982.0,65.0
162,212.0,988.0,65.0
163,213.0,994.0,65.0
164,214.0,1001.0,64.0
165,215.0,1007.0,64.0
166,216.0,1013.0,64.0
167,217.0,1020.0,63.0
168,218.0,1026.0,62.0
169,219.0,1032.0,62.0
170,220.0,1038.0,61.0
171,221.0,1045.0,60.0
172,222.0,1051.0,59.0
173,223.0,1057.0,58.0
174,224.0,1063.0,57.0
175,225.0,1069.0,56.0
